Question number/numéro de la question,AnswerType,IsReversed,English,Français,IndicatorENG,IndicatorFRA,IndicatorID,SubIndicatorENG,SubIndicatorFRA,
Q60k,6,1,Please indicate the nature of the harassment you experienced. ...Unfair treatment,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Traitement injuste,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60l,6,1,Please indicate the nature of the harassment you experienced. Yelling or shouting,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Hurlement ou cris,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60l,6,1,Please indicate the nature of the harassment you experienced. Yelling / shouting,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Hurlement ou cris,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60l,6,1,Please indicate the nature of the harassment you experienced. ...Yelling or shouting,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Hurlement ou cris,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60m,6,1,Please indicate the nature of the harassment you experienced. Other,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60m,6,1,Please indicate the nature of the harassment you experienced. ...Other,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61a,6,1,What action(s) did you take to address the harassment you experienced? I discussed the matter with my supervisor or a senior manager.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai discuté du problème avec mon (ma) superviseur(e) ou un cadre supérieur.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61a,6,1,What action(s) did you take to address the harassment you experienced? … I discussed the matter with my supervisor or a senior manager.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai discuté du problème avec mon (ma) superviseur(e) ou un cadre supérieur.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61b,6,1,What action(s) did you take to address the harassment you experienced? I discussed the matter with the person(s) from whom I experienced the harassment.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai discuté du problème avec la ou les personne(s) par laquelle (lesquelles) j'ai été harcelé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61b,6,1,What action(s) did you take to address the harassment you experienced? ...I discussed the matter with the person(s) from whom I experienced the harassment.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai discuté du problème avec la ou les personne(s) par laquelle (lesquelles) j'ai été harcelé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61c,6,1,What action(s) did you take to address the harassment you experienced? I contacted a human resources advisor in my department or agency.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai communiqué avec un(e) conseiller(ère) en ressources humaines de mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61c,6,1,What action(s) did you take to address the harassment you experienced? ...I contacted a human resources advisor in my department or agency.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai communiqué avec un(e) conseiller(ère) en ressources humaines de mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61d,6,1,What action(s) did you take to address the harassment you experienced? I contacted my union representative.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai communiqué avec mon (ma) représentant(e) syndical(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61d,6,1,What action(s) did you take to address the harassment you experienced? ...I contacted my union representative.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai communiqué avec mon (ma) représentant(e) syndical(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61e,6,1,What action(s) did you take to address the harassment you experienced? I used an informal conflict resolution process.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai eu recours à un processus informel de résolution des conflits.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61e,6,1,What action(s) did you take to address the harassment you experienced? ...I used an informal conflict resolution process.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai eu recours à un processus informel de résolution des conflits.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61f,6,1,What action(s) did you take to address the harassment you experienced? I filed a grievance or formal complaint.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai déposé un grief ou une plainte officielle.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61f,6,1,What action(s) did you take to address the harassment you experienced? ...I filed a grievance or formal complaint.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai déposé un grief ou une plainte officielle.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61g,6,1,What action(s) did you take to address the harassment you experienced? I resolved the matter informally on my own.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai réglé la question de façon informelle par moi-même.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61g,6,1,What action(s) did you take to address the harassment you experienced? ...I resolved the matter informally on my own.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? J'ai réglé la question de façon informelle par moi-même.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61h,6,1,What action(s) did you take to address the harassment you experienced? Other,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61h,6,1,What action(s) did you take to address the harassment you experienced? ...Other,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61i,6,1,What action(s) did you take to address the harassment you experienced? I took no action.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? Je n'ai pris aucune mesure.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q61i,6,1,What action(s) did you take to address the harassment you experienced? ...I took no action.,Quelle(s) mesure(s) avez-vous prise(s) pour régler le problème de harcèlement dont vous avez fait l'objet? Je n'ai pris aucune mesure.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62a,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? The issue was resolved.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La situation a été réglée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62a,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  The issue was resolved.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La situation a été réglée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62a,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  ...The issue was resolved.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La situation a été réglée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62b,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I did not think the incident was serious enough.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne pensais pas que l'incident était assez grave.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62b,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I did not think the incident was serious enough.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne pensais pas que l'incident était assez grave.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62b,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...I did not think the incident was serious enough.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne pensais pas que l'incident était assez grave.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62c,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? The behaviour stopped.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Le comportement s'est arrêté.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62c,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  The behaviour stopped.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Le comportement s'est arrêté.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62c,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...The behaviour stopped.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Le comportement s'est arrêté.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62d,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? The individual apologized.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne s'est excusée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62d,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  The individual apologized.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne s'est excusée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62d,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...The individual apologized.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne s'est excusée.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62e,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? Management intervened.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La direction est intervenue.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62e,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  Management intervened.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La direction est intervenue.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62e,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...Management intervened.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La direction est intervenue.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62f,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? The individual left or changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne a quitté ou changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62f,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  The individual left or changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne a quitté ou changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62f,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...The individual left or changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? La personne a quitté ou changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62g,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'ai changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62g,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'ai changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62g,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...I changed jobs.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'ai changé d'emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62h,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? I did not know what to do, where to go or whom to ask.","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne savais pas quoi faire, où aller ou à qui parler.",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62h,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced?  I did not know what to do, where to go or whom to ask.","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne savais pas quoi faire, où aller ou à qui parler.",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62h,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? ...I did not know what to do, where to go or whom to ask.","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne savais pas quoi faire, où aller ou à qui parler.",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62i,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I was too distraught.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'étais trop bouleversé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62i,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I was too distraught.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'étais trop bouleversé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62i,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...I was too distraught.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'étais trop bouleversé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62j,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? I had concerns about the formal complaint process (e.g., confidentiality, how long it would take).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais des préoccupations au sujet du processus formel de plaintes (p. ex., la confidentialité, le temps que prendrait le processus).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62j,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced?  I had concerns about the formal complaint process (e.g., confidentiality, how long it would take).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais des préoccupations au sujet du processus formel de plaintes (p. ex., la confidentialité, le temps que prendrait le processus).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62j,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? ...I had concerns about the formal complaint process (e.g., confidentiality, how long it would take).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais des préoccupations au sujet du processus formel de plaintes (p. ex., la confidentialité, le temps que prendrait le processus).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62k,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I was advised against filing a complaint.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? On m'a conseillé d'éviter de déposer une plainte.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62k,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I was advised against filing a complaint.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? On m'a conseillé d'éviter de déposer une plainte.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62k,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...I was advised against filing a complaint.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? On m'a conseillé d'éviter de déposer une plainte.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62l,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? I was afraid of reprisal (e.g., having limited career advancement, being labelled a troublemaker).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais peur des représailles (p. ex., limiter l'avancement de ma carrière ou porter l'étiquette de fauteur de troubles).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62l,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced?  I was afraid of reprisal (e.g., having limited career advancement, being labelled a troublemaker).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais peur des représailles (p. ex., limiter l'avancement de ma carrière ou porter l'étiquette de fauteur de troubles).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62l,6,1,"Why did you not file a grievance or formal complaint about the harassment you experienced? ...I was afraid of reprisal (e.g., having limited career advancement, being labelled a troublemaker).","Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'avais peur des représailles (p. ex., limiter l'avancement de ma carrière ou porter l'étiquette de fauteur de troubles).",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62m,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? Someone threatened me.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Quelqu'un m'a menacé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62m,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  Someone threatened me.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Quelqu'un m'a menacé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62m,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...Someone threatened me.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Quelqu'un m'a menacé(e).,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62n,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I did not believe it would make a difference.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne croyais pas que cela ferait une différence.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62n,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I did not believe it would make a difference.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne croyais pas que cela ferait une différence.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62n,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...I did not believe it would make a difference.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Je ne croyais pas que cela ferait une différence.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62o,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? I intend to file a grievance or a formal complaint but I have not done so yet.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'ai l'intention de déposer un grief ou une plainte officielle mais je ne l'ai pas encore fait.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62o,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  I intend to file a grievance or a formal complaint but I have not done so yet.,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? J'ai l'intention de déposer un grief ou une plainte officielle mais je ne l'ai pas encore fait.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62p,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? Other,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62p,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced?  Other,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q62p,6,1,Why did you not file a grievance or formal complaint about the harassment you experienced? ...Other,Pourquoi n'avez-vous pas déposé un grief ou une plainte officielle concernant le harcèlement dont vous avez fait l'objet? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q63,6,1,"Having carefully read the definition of harassment, have you directly witnessed harassment on the job in the past 12 months?","Après avoir lu attentivement la définition du harcèlement, avez-vous été directement témoin de harcèlement au travail au cours des 12 derniers mois?",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q64,1,0,I am satisfied with how matters related to harassment are resolved in my department or agency.,Je suis satisfait(e) de la manière dont les problèmes de harcèlement sont réglés dans mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q65,1,0,My department or agency works hard to create a workplace that prevents harassment.,Mon ministère ou organisme met tout en œuvre pour créer un milieu de travail qui prévient le harcèlement.,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q66,6,1,"Having carefully read the definition of discrimination, have you been the victim of discrimination on the job in the past 12 months?","Après avoir lu attentivement la définition de la discrimination, au cours des 12 derniers mois, avez-vous été victime de discrimination au travail?",WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q66,6,1,"Having carefully read the definition of discrimination above, have you been the victim of discrimination on the job in the past two years?","Après avoir lu attentivement la définition de la discrimination, au cours des 12 derniers mois, avez-vous été victime de discrimination au travail?",WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67a,6,1,From whom did you experience discrimination on the job? Co-workers,De la part de qui avez-vous été victime de discrimination au travail? Collègues,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67a,6,1,From whom did you experience discrimination on the job? ...Co-workers,De la part de qui avez-vous été victime de discrimination au travail? Collègues,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67b,6,1,From whom did you experience discrimination on the job? Individuals with authority over me,De la part de qui avez-vous été victime de discrimination au travail? Supérieur(e)s,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67b,6,1,From whom did you experience discrimination on the job? ...Individuals with authority over me,De la part de qui avez-vous été victime de discrimination au travail? Supérieur(e)s,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67c,6,1,From whom did you experience discrimination on the job? Individuals working for me,De la part de qui avez-vous été victime de discrimination au travail? Employé(e)s relevant de moi,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67c,6,1,From whom did you experience discrimination on the job? ...Individuals working for me,De la part de qui avez-vous été victime de discrimination au travail? Employé(e)s relevant de moi,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67d,6,1,"From whom did you experience discrimination on the job? Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de discrimination au travail? Personnes envers lesquelles j'ai une responsabilité de garde (p. ex., détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67d,6,1,"From whom did you experience discrimination on the job? ...Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de discrimination au travail? Personnes envers lesquelles j'ai une responsabilité de garde (p. ex., détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67e,6,1,From whom did you experience discrimination on the job? Individuals from other departments or agencies,De la part de qui avez-vous été victime de discrimination au travail? Personnes provenant d'autres ministères ou organismes,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67e,6,1,From whom did you experience discrimination on the job? ...Individuals from other departments or agencies,De la part de qui avez-vous été victime de discrimination au travail? Personnes provenant d'autres ministères ou organismes,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67f,6,1,From whom did you experience discrimination on the job? Members of the public (individuals or organizations),De la part de qui avez-vous été victime de discrimination au travail? Membres du public (personnes ou organisations),WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67f,6,1,From whom did you experience discrimination on the job? ...Members of the public (individuals or organizations),De la part de qui avez-vous été victime de discrimination au travail? Membres du public (personnes ou organisations),WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67g,6,1,From whom did you experience discrimination on the job? Other,De la part de qui avez-vous été victime de discrimination au travail? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q67g,6,1,From whom did you experience discrimination on the job? ...Other,De la part de qui avez-vous été victime de discrimination au travail? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q68a,6,1,Please indicate the type of discrimination you experienced. Race,Veuillez indiquer le type de discrimination dont vous avez fait l'objet. Race,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q68a,6,1,Please indicate the type of discrimination you experienced. ...Race,Veuillez indiquer le type de discrimination dont vous avez fait l'objet. Race,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q68b,6,1,Please indicate the type of discrimination you experienced. National or ethnic origin,Veuillez indiquer le type de discrimination dont vous avez fait l'objet. Origine nationale ou ethnique,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
Q68b,6,1,Please indicate the type of discrimination you experienced. ...National or ethnic origin,Veuillez indiquer le type de discrimination dont vous avez fait l'objet. Origine nationale ou ethnique,WORKPLACE,MILIEU DE TRAVAIL,4,Discrimination,Discrimination,17
